제목,내용
인연1,"그대와의 고운 인연을 기억합니다.
비가 나려도 씻겨 가지 않으며
눈이 펑펑 쏟아져도 묻히지 않은
그대로의
고운 인연이었음을
그러한 날들이 지나
훗날
세상 모든 그림자
사라진다 하여도
서로를 온유하면서
가장 낮은 곳에
풀씨 하나 묻으며
생명을 노래하는
그런
인연이었으면
참 좋겠습니다."
너와 나의,"거울이고 싶다.
바라볼 수 없는 공간
건너에서 부터
언제나
당신은
나의 얼굴
세상 가장 작은
거울이 되어
늘상 비추임으로
기다리는 시공의 울림
너는 내가 되고
내는 네가 되는
삼세의 연으로
나들이 온
너와 나의 거울이고 싶다."
내게로 왔다,"내게로 왔다.
윤 오월 더 하여
더위조차 지친 날
기다리는 해넘이 건너
카노푸스의 빛으로
그랬다.
몰란 결에
올가을엔 사람이
다가온다고
억새 물결 이랑마다
제주 바람으로
노를 저으며
내게로
이렇듯 다가서던 날
나는
그 사랑의 그림자가
되었다"
연길 공항,"연길의 동포들 잘 있다고
잘 산다고, 남부럽지 않게 산다고
전해 달라는 조선족 동포의 말
그래야 연길이 알려진다고
눈물겨운 후렴까지 힘주어 당부하는데
핏줄을 타고 흐르는
동족애의 정이 뜨겁게 느껴지는 순간이다.
가슴 한쪽이 아리면서도 흐뭇한 것은
내가 생각한 연길이 아니라는 것
훨씬 풍요롭고, 훨씬 화사하고
행색도 곱고, 희망도 곱고
결코 가난한 터가 아니라는 것이다.
한국에 간 조선족이
피땀으로 일하여 보내는 돈으로
연길에 화사한 빛이 스며들어 따뜻하다고
우리 동포의 근면한 삶의 소산이다.
연길 공항은 크고 깨끗하다.
연길의 얼굴이다"
제비꽃,"행인의 눈에 띌까
보랏빛 수줍음 물들이어
가슴 열어 핀 꽃
꽃병에 꽂혀 본 적
화단에 심겨 본 적
없이
봄꽃이라 불리우는
그 한마디에
마음 열어 핀 꽃
꽃송이 작으니
키라도 컸으면
줄기 짧으니
잎이라도 넓었으면
작음에
숨어 숨어 참빛 발하는
보랏빛 겸손"
설원을 걷는 독수리,"하늘 아래엔 땅이 있고
그 사이엔 무한대의 길이 있어
여기는 설원
보이는 건 순백의 눈뿐
고독한 흰 길에
하늘을 나는 오만을
묻으려 내려온 거야
공중에서 자란 거친 발톱
여기서 닳아 무디게 만들고
사자 뒤를 따르며
부스러기 먹이를 줍던 행운
기억 저편 인광에 사르고
설야
때론 밤이 하얀 걸 알았어
사각의 틀에 갇힌
단단한 나의 사고
하얀 밤에 우수수 쏟아져 죽고 있어
사나운 깃털이 사뭇 울어
열린 저 하늘 길이 그리운 거야
깃털, 너마저 죽어
빈 몸일 때 날게 해준다고
저만치서 태양은
링거액 들고 기다리고 있어"
아름다움의 순간마다 잠시 멈추어,"별빛이 찬란한 노래의 시간 속에
고운 새들이 한 단어 한 단어를 알아가는
창문으로 조립된
문장에서 떼어낸
마음에 온유함이라는
하나의 따듯한 손난로를 두 손에 담아
봄의 소리마다
감동의 떨림이 있는
노란 처음의 느낌을 가지는 일을 시작합니다
그렇게 하얀 숲속의
조그만 일상에서
고운 햇살의 마음으로
꽃의 눈물로
꿈을 지나온 애태움
그리움의 자전거를 타고 오는
나뭇잎 바람처럼
아무런 형체도 없지만
언제나 숲의 향기로 곁에 서서
아름다움의 눈빛으로
고운 느낌의 고개를 살며시
안개꽃의 이슬비를 바라봅니다
이렇게 비가 내리면
다시 기다릴 수 있는
공교함과 신비함이 걸어오는
강물의 시작
천년의 눈물에서 시작된
이슬비 고요함을 가져오는
소낙비의 작은 개울과 도랑
그렇게 하얀 시간을 돌아서
가을이라는 고요함의 근원이 됩니다
이렇게 아름다운 날엔
나뭇잎을 얼기설기 엮어
노란 느낌의 별을 하나둘 실어오는
금모래의 작은 종이배
바람의 불 때마다
고운 별들의 이 모양 저 모양 숲의 반짝이는 눈동자를 가지게 됩니다"
가을 빛 향연에서,"화려한 꿈을 이루고 떠나는 낙엽
떨어져 쌓이고 흩어지는 삼박자
소박한 자리인 듯싶은
허망의 세월을 지나 새 삶을 여는
삶의 위상을 찾는 빛의 향연
가을 수놓는 美의 제전
삶의 일기에 채워진 문장들
추억의 그림자가 짙게 그리움 더하고
노란 빨간 파란 오색찬란한 향연
신의 솜씨 무엇에 비교 할꼬
색깔의 만삭을 이룬 가을
여의도 밤하늘 부서지며 밝힌 불꽃
사람마다 축복으로 뿌려주는 듯
파노라마를 이룬 계절의 찬미
삶의 향연 속으로"
비 오는 날,"세상 그러하니
나도 쉴만한 물가로다
비 오는 날엔 꿈틀거리는
생각과 발걸음이
보고프고 가고팠던 곳
찾아가고픈 마음이
잠시 쉬고 있을 뿐
어서 하늘 개기를 기다린다
비 오는 날은 내일을 위해
댓돌 위에 올라서서
더 멀리 바라보는 날"
10월비 사랑,"더는 참고 기다릴 수만은 없어서
어쩔 수 없이
내가 나선 거란다
단풍도 들고
낙엽도 떨어져
가을 숲 모습을 제대로
갖추어야할 때가 되었건만
여전히 잡풀 넝쿨들이
나무들 휘감고 있고
못된 해충들은
나무둥치 파먹고 있으니
이대로 마냥
두고만 보다간
자칫 숲이
망가질 수도 있을 듯하여
서둘러
찬 기운 좀 오게 하려고
비가 되어
이렇게
내리는 거란다"
보라색 무지개에서 비롯된 것으로,"저마다의 무지개 살을 붙여
깊은 고랑을 내고
어디든 시냇물이 되어
흘러내릴 수 있도록
거칠어진 면도 다듬어 온유함을 만들고
눈물처럼 고이는
하얀 시간 속에 들어있는
노래의 연못에
종달새는 아무런 의미도 없이
분홍빛 종소리를 울리고 싶어 합니다
노을의 그려놓은
아름다움의 순간에는
바람이 불어 혼자 서있을 수 없고
생각의 언덕이
언제나 푸른 아침의 기다림에 기대어
아직도 은근함에 가지고 있는
작은 소망들
꿈이 빛나는 곳에
천년을 말없이 걸어온
강물의 순간이 되어 생각이 깊어지고
마음이라는 알 수 없는
아련함의 만져짐은
어느 날 혼자서 봄을
보라색 무지개에서 비롯된 것으로 생각하는
슬픔의 시작이 있는
이슬비 책에 놓인
아름다움의 거울 같은 커다란 눈동자
달빛의 고운 줄자로
아름다움의 깊이를 측량하고
푸른 느낌의 언덕만큼 잘라야 하는 아픔을 가집니다
그래서 풀잎 마음이
나뭇잎의 작은 것을
다시 돌보아 주어야 하는 그 순간은
수선화의 연못에
가는 빗소리의
외로움의 시간이 머물 수 있도록"
낙엽,"들풀도 성장을 멈췄다
서리는 언제쯤 내릴까
기다리지 않아도
기어이 오고야 마는
그날을 위해 짧은 생
할 일 다 했으니
씨알 묻힌 땅 따뜻이
덮는 일만 남았다
스스로 눕는다"
진심 예삐,"예쁘지 정말정말 그대의 말씀입술
아 예뻐 아름다워라 언제라도 예삐요
제 감히 예삐, 여삐라 불러도 되는지요
밤낮을 아리따움 예삐, 예피를 찾아보며
불러요 아름다우심 예뻐 예뻐 예쁘다"
속임수 세상 살아가기,"속임수가 판치는 세상
가뜩이나 어지러운 길 위에서
살아남기 위해 죽은 척하는 것
그건 서서히 일어서려는 도약의 술책이다
탐욕의 발길질에 차이고 밟혀도
분노를 누르고 살아남은
저토록 하얀 질경이 뿌리의 웃음을 닮아보는 것이
생각을 경험하고 온전한 하루를 찾아가는 길이기에
오늘은 무위를 가장하여 작위함으로써
게으르고 나쁜 버릇
흐르는 바람 속으로 숨어 달아나게
생명의 은혜로움 기억하는 것
외로운 시간
두고두고 갚아야 할 삶의 외침이
산처럼 쌓이는구나."
세월이 간다,"자박자박
한치의 오차도 없이
멈춤도 없이
세상이 휘청거리고
고통의 긴 터널 속에서
기쁨의 순간에도
끈임 없이
세상을 지나 세월이 간다
자박자박
십자가 그으며
천국 문 앞까지"
처음 아름다움과 별빛의 사이,"마음에 애태움을 잠재우고
누구나 그림의 중심에 설 수 있도록
하얀 물감이 물들여 놓은
아침을 닮은
하얀 안개의 고운 눈빛으로 바라보는
별들의 마음으로 사 온
그리움의 눈물
이제 이슬비가 내려
분홍색을 흘러가고
노란색들의 총총걸음이
아름다움의 곁으로 닦아와
무엇을 주고 다시
외로움의 숲속을 만들 수 있는지
노래의 의미를 잃어버린
종달새는
아름다움을 속삭여야 할
스스로 알 수 없는
산 너머 숲들의 언어만을 속삭이게 됩니다
그렇게 앞산이라는 거대한 마음
무엇을 캐내어도
육각형의 빛나는 석영들이
초록색 단어들로
깊을 고랑을 파고
하나의 문장을 완성하고
이제는 달빛도 고요한
하나의 창문이 달리면
노래의 저녁에도 아늑함이 쉬게 됩니다
그래서 풀잎들의 마음을 그려
이제는 고요함이 가져온
하나의 단풍잎
두 손을 모으고 기도하는
가을이라는 마음은
나비들의 생각을 살며시 만져보게 됩니다.
누구에게나 나누어 줄 수 있는
반달의 모서리에 있는
그리움의 순간이 가진 아름다움의 눈빛을"
행복한 길에서,"정 나누며 사랑으로 어울리며
살아 온 여정이었지
정으로 살아온 세월
때로 한 자락 바람을 움켜잡으며
어찌하면 행복하게 살 수 있을까하며
욕심만 토하며 산 인생이었지
숨소리가 부딪쳐도
꼭두각시 같이 빈 허점뿐인 인생
행복은 쉬 찾아오지 않았고
불행만 앞서가는 여정이었지
이제야 알았지
행복은
하늘이 내린 마음의 선물로
사랑을 나누며 베푸는 떼 오는 것을
금빛 행복 속으로"
그래도 우리는 행복했었다,"결혼 55주년, 취옥혼식을 맞아
꿈같이 보낸 세월 감사만 넘쳐나네
여생도 이러하기를 소망중에 믿으리
하나님 큰 은혜로 두 남매 받았는데
그 밑에 다섯 손주 제 앞길 잘 챙기네
행복이 충만하도다 이만하면 족하리"
맡겨드리자,"슬피 울지 말고
주께 맡겨드리세
근심 걱정 질병 미래
맡겨드리고 되찾지 마세
험난한 인생 바통
손에 쥐어드리면
가볍게 달려주시리"
바람의 소풍길,"울컥 제 삶을 다 쏟아놓고 진저리치는
동백, 에둘러 가는
저이는 언제 다시 올 수 있을까
어떤 생이라도 기꺼이 복사할 수 있다면
융숭 깊은 이 봄날의 온기를 끓여
장을 담겠네
이번 생에 불려나온 햇나비처럼
가벼이 발뒤꿈치를 들고 길 떠나는
그대여,
어느 시절은 무릉도원 덜큰한 도화 아래
뒹굴다 가고
어느 날은 건널 수 없는 진창의 에움길을 돌고 돌아왔으니
개털 같은 유랑의 날들
한 줌 시래기같이 부서지던 헛헛한 사랑아,
이제 바람이 잔 저녁,
빈손으로 떠나는 황혼역에서 차표를 사고
막차를 기다리는 사람들처럼
들국같이 쓸쓸한 마음을 흔들며 그대
다녀간 세상의 길들을 헤아려 보네"
사라짐에 대하여,"꽃이 다녀간 자리, 우련 붉은
울음의 그늘 속에 갇히는, 귀면
어느 날
당신의 내부에서 열리지 않는, 바깥
나붓이 떨어진, 낙일 같은 그림자로
적도 멸도 없이 침몰한 이목구비
나는 당신의 비옥한 슬픔
무형의 성채
벼락을 먹은 당신이 있다"
어느 날 생각 속에 고인 향기의 소낙비,"그 키 높이의 순서대로 잘라내야 하는
외로움의 순간들
그리움이 가져오는 새소리
하얀 수필의 시간을 돌아서 오는
그리고 별을 부르는 휘파람
뒤돌아보면
아무것도 보이지 않는 곳에
외로움만 동그라니
안개만이 가지고 있는
천사들의 숲속에서
향기는 나비들의 마음을 만듭니다
언젠가 노래의 길을 걸어
고움의 눈빛이 되고자 하는
꿈이 그린 사다리 건너
반달의 무지개를 가져오면
이산과 저 산 너머
봄이 켜놓은 등불마다
분홍빛 신호를 넣어두어
고요함의 느낌이 알고 있는
숲은 다시 바람을 마음에 안고 잠이 듭니다
바람이 써 내려간
그림일기의 첫 줄에는
하늘 푸름이 이야기하는
노래의 단어들로 채워지고
나머지 빈칸은
순수의 정교함이 가로와 세로를 재어
피아노를 만들어 놓은
생각의 나무들
새들이 날아와 쉴 수 있도록
그늘을 만들고
고운 가지를 내밀어
하나 남은 노래의 모퉁이에도
종달새의 아침을 비추게 합니다
그렇게 그림자로 살아가는
별들의 울타리 안에
나무들은 숲의 아늑함을 지붕처럼 만듭니다"
조금,"흐뭇한 오후
마당 앞 정자에
가을 햇살이 머물다가고
바람도 머물다가고
그리움도 머물다가고
세월도 머물다 갔다.
좁은 돌담 길가에
국화꽃과
코스모스 미소 때문에
마음이 상쾌해서
웃음 짓다가
나는 조금 더 늙었다."
기후 변화,"이상 변화와 지구촌 재앙들로인해
몸살을 앓고 있는 일련의 사태들과
전 세계 생물종의 급격한 멸종 위기
자연발생적인 쓰나미와 대지진 등
심상치가 않은 기후 변화 생태환경
적극적인 대책을 강구해야할 시기
더 늦기 전에 공존을 위해 깨우쳐서
인류생존 차원의 대처 방안 마련할
현명한 연구개발이 절실해진 생태계
전체적인 화두로 떠오른 직결된 문제
매우 복잡하고도 다양하게 전개될 개념"
폭설,"눈은 내려 쌓이고 모든 길은 사라져 향방 없는 사랑은 주인을 잃었으니, 이렇게 사는 것이 죽느니만 못하다며 나머지 생은 버리고 가자, 버리고 가자고 서로의 목을 감고 칼을 벼리던 도수쟁이같이 시퍼런 비탄에 갇혀 몸을 떨던 밤이었지요
그러나, 그 독한 마음을 곰곰히 고쳐먹고 당신과 내가 세상에 와서 더 잃을 것이 무에냐는 생각에 이르자 무기력한 정신이 눈을 떴습니다 절망은 잠시 쉬어가는 삶의 경로일 뿐 우리가 탐험해야할 거대한 수평선이 있을 거라 믿었습니다
그렇듯 막다른 길에서는 바람도 제 몸을 바꾸어 담을 넘지 않던가요 그래 꽁꽁 언 마음의 바깥에다 구멍을 내고 당신과 나는 이냥 마지막 남은 가쁜 숨을 다시 달게 불어보자 다짐했던 뜨거운 밤이었습니다"
병상일기,"병이라고 읽고 다시 삶이라고 옮겨 적습니다
존재한다는 말의 어원이 고통이어서
역병처럼 창궐하는 삶이 울창합니다
그 울울한 그늘을 비집고 들어가 몸에 맞는 세상의 병 하나 얻었습니다
내상이 심한 그를 찬찬히 부축해 목발로 뉘어 주었습니다
코끼리 등 거죽같이 두껍고 질긴 환부가 온통 잿빛입니다
그래서 더욱 침침한 폐쇄병동 같은 낱말이 서걱서걱한 병상은 사막입니다
몇날 며칠 목발질로 곡진히 병을 연명합니다 오아시스를 더듬는 실뿌리처럼
기를 써서 닿으려 해도 이파리 하나 까딱하지 않는 식물성 사유, 어찌할까요
도려낼 수 없는 하루 해는 길고 밤은 하루보다 더 길고
하도 장황한 통증이어서 고관절이어서 기괴한 불면이어서
잠이 없는 죄를 그에게 물을 수는 없습니다 그러니 촉법소년 같은 병을 차마 풀어놓기에는 더 못할 일이어서
핍진한 언어로 더듬더듬 골똘하여져서는
가망 없는 불우를 나는 그냥 꼬옥 보듬어 주었습니다"
심상,"아직 노을이 오기 전에 모정에 가서 꼭 잠긴 마음의 빗장을 끌러 볕집을 샀습니다
꽃을 피우는 일이 생업이어서 늦도록 이국의 소식을 기다리다 목이 잠긴 해바라기 곁에서 온몸에 열꽃이 핀 갱년의 사루비아가 겉옷을 벗고 앉은 볕바른 귀퉁이에 금계국, 맨드라미, 접시꽃이 도란도란 한 지붕을 이운 담장아래 작은 별채를 마저 들이자 풀어놓은 새소리가 요리조리 자자합니다
뒤란 파밭에 오래 묵힌 짜투리 묵정 그늘이 게으르게 눈을 뜹니다
딱 고만큼 한 마음의 노잣돈을 헐어 거름으로 썼습니다
나는 이제야 볕과 그늘을 일구는 일이 기름지고 하루 중 가장 보람되는 것이 농사인 것을 알았습니다
잔뜩 구름이 끼거나 비라도 내리는 날이면 망중한으로 화투패를 떼듯 골방에서 종일을 두문불출 하다가도 어느 날 뒤란 쪽 눈길을 주는 햇살의 작란에 마음을 뺏긴 그늘이 제 서늘한 목덜미를 조금씩 내어주었습니다 긴 팔을 뻗어 고물고물한 시간을 조용히 만지작거리다가 누가 먼저랄 것 없이 살가운 오누이처럼 손을 잡고 어느새 반 마장쯤은 멀리 가서 까무룩해질 때에야 비로소 내 몸이 주인도 객도 아닌 무형의 온기가 무시로 드나는 무명소인 것을 알았습니다"
산다는 것의 백분율,"버티는 일이 열
그래도가
다시
열
견디고 버티고 다시
일어서는
열"
아침 시작,"화이팅을 외치고
감사합니다를 다섯 번
오늘이 좋다를 다섯 번
이렇게 자기 암시로
하루를 신나고 즐겁게..."
하늘에는 그리움이,"네 생각이 나면
커피를 마신다
커피를 마시다
함께 걷던 거리로
향하는 걸음
무작정 걷다
촉촉이 젖어드는 ..."
이층 카페에서,"여전히 바쁘고
아침이면 안개 자욱한
사이로 깊어지는 가을
눈길마다 아름답고
국화꽃이 한창이다
이렇게 아름다운 가을에는
이층 카페에서 누군가를
기다려도 좋으리..."
가을 라일락,"많이
안쓰러웠나보다
허전해 하는
마음들에
무언가를
해주고 싶었나보다
낙엽 떨어지는
계절인데
때 아닌
꽃송이를 피워 올려
옅은 향내음까지
풍겨내는 걸 보니..
반갑기는 하다만
웬지
네 자리를
제대로 찾지 못한 것 같아
바라보는
내 맘이 더
시려오누나"
붉은 단풍 연가,"삶의 서글픔도 아파하던 일도
영그는 가을바람 속으로
점점 높아가는 하늘
가을바람 속에 들어내는 사랑 빛
고운 햇살로 물들인 빨간 얼굴
살랑살랑 흔드니 더 귀엽다
몸을 태우는 붉은 가을
화려한 동화가 아닌 아픔 속에
선혈로 물들이며 정열로 쓴
붉은 사랑의 편지
진실한 사랑의 고백인가
몸을 태우면서 미소를 잃지 않고
어느새 물들여 오색찬란한 산야
하늘이 내리는 미美의 선물
사랑스러운 단풍이여"
노래의 하얀 달빛이 있는 이슬비 징검다리,"강물의 마음
그리고 아름다움의 건너
그리움이 노래의 중심이 되어
천사의 마음이
고운 님의 느낌으로 오기를 기다립니다
그렇게 생각으로 빗은
나무 의자를 가져와
별빛이 들려주는
하얀 이슬로 가는 고운 내림의
저녁노을의 붉어짐을
아침이 오기 전
서둘러 향기의 언덕으로 내려오고 있는
꽃들이 하얀 눈물
봉선화의
손톱마다 봄의 씨앗을 심어
노래의 마음을 달랠 수 있는
꿈이 있는
초록색의 아침을 서둘러 만들고
찬란한 숲이 되는
모든 재료를 한곳에 모아놓은
앞산과 산의 허리 너머
메아리의 느낌으로
이른 고랑이 있는
아침에 깨어난 저녁을 땅거미로 심어봅니다
그렇게 이곳 하늘 끝에서
거울의 눈으로 볼 수 있는
밝고 빛나는 겨울 눈동자
천년을 헤아려
저 그리움에 보낼 수 있는
휘파람 닮은 가을 하나에
가져야 할 마음의 고고함을 언제나 붉게
단풍잎의 떨림으로
소낙비 메아리에
하얀 숨소리와 느낌을 실어놓을 수 있도록
여기저기 강물을 만들고
처음과 끝이 같은 시냇물의 깊이를 넣어둡니다."
광복절 태극기,"가슴이 넘치도록 손뼉을 마주하며
사랑 타 마주 보면서 한평생을 함께 해
눈물이 웃음으로 꽃피는 그대 있어
하루를 잘 지내고 열흘을 잘 견디고
일 평생 그대로 하여 고마와요 태극기
태극히 휘날리며 하늘이 푸르르고
나도 또 행복으로 둥글글 돌아들며
일 평생 그대와 함께 웃음 있어 행복해"
어른 꿈,"이사람 꿈속까지 따라와
나를 괴롭히는가
다시 잠자리에 들어 들여다본다
어제도 그랬다
집사람과 배추를 심다가
배추와 배추 사이의 간격이
너무 좁다는 집사람의 채근에
은근히 화가 치밀었었고
동생과 당구를 치다가
네가 시간을 너무 끄는 탓에
내 심리가 무너져 지고 있다며
얼굴이 붉어졌었다
한 해 한 살 더해 갈수록
마음의 여유가 즐겁다는
점잖은 어르신들과는 달리
나는 왜 어린 아이처럼 자꾸만
더 작은 것들에 집착하는 것인가
속 좁은 밴댕이처럼"
우유부단,"로또 같은 건 다시는 사지 않는다 다짐하다가
언제 그랬냐는 듯 로또 방을 찾는 나를
상상하다가 나한테 또 혼나다
어떤 시인은
쑥부쟁이와 구절초를 구별 못하는
자신에게 절교까지 선언하던데
들국화면 됐지 무슨 절교씩이나 했던 나
술 마신 다음날마다 끊는다며 조인 매듭
그 다음 날이면 한 잔 술에 풀어지기 일쑤고
거리의 아이들 담배 피우는 꼴 보기 싫다며
끊었던 담배는 어디 또 한두 번이던가
이런 내가 이런 수모쯤 당했기로
끊을쏘냐 끊어지겠느냐
어쩌면 나 같은 사람들 있어
세상도 부단히 굴러가는 것 같기도 하고"
사랑하는 사람이 꽃 같았으면 좋겠다,"이듬해 새잎 돋는 꽃나무에 먼저와서 피는
새뜻한 꽃 같았으면 좋겠다
세월이 흘러 먼 훗날에도
노란 산수유 불멸의 꽃말처럼 거듭거듭
다시 사는 꽃 같았으면 좋겠다
친정집 다니러 간 새댁처럼
마실에서 재재오는 어미처럼, 잠시
갔다 다시 오는 꽃 같았으면 좋겠다
사랑하는 이여, 그날에도
저녁 동산 나무 아래서 늦도록
꽃 피는 그대를 나는 기다리겠네"
바위,"빈손으로 돌아오는 날에는
꽉 찬 산달만큼 내 몸이 먼저 무거웠다
정수리에서 발끝까지 천근 무게의 침묵으로
귀와 입을 닫아버린 한낮의 암자에서
가부좌를 틀고 묵언수행하는 노승의
무거운 성정의 붓촉 같은 혀를
내가 엿본 것도 같은데, 심중의 말을
설핏 들은 것도 같은데"
오래된 악기,"귀머거리 어둠이 머리를 풀고 내려와
밤낮없이 웅웅거리다 간 바람의 집이다
어름어름 띠풀만 무성히 자란,
한 때는 뭇별을 노래하던 황홀한 빈터
수수꽃다리나무 하얗게 센 머리 위로
어둠을 탄주하던 달빛의 현과 같이
사무치며 허공을 뜯던 내 몸이
눈물샘 깊은 곳에 두레박을 내리고
휘청이는 달그림자로 은하를 건너던
유랑의 시절 , 어루만져도
꼭 안아도 소리를 잃어버린
아아, 그때
풋사과처럼 싱그럽던 서정의,
내가 버린 낙원
나를 사랑한 꿈의 폐허"
달밤,"잠긴 문을 스르르 열고 들어와 금침을 펼 때
잠 없는 두견이 어둠의 앞섶을 풀어놓는다
마알갛게 몸 벗는 달의 숨소리
얼음같이 투명한 저, 환의 자웅동체
부르르 몸을 떠는 백일홍
붉은 꽃 머리 위로 쏟아지는 별사태
환한
빛의 혼례의 시간"
시월,"목이 짧은 해가 두꺼운 외투 깃을 세우고
얇게 인화된 그림자를 둘둘 말아들고
잰걸음으로 산등성을 넘어갔다
종잇장처럼 푸석하게 마른
바람의 입술에 빈 젖을 물리는 억새
한때 말구유같이 아늑했던 초록지붕 위를
맨발로 걷던 구름의 전령들은 다 떠나고
채색한 머리 위로 이모작을 하는 하늘
깊은 우물에서 떨어지는 한 방울 소리의 깃
가벼운 현기증"
행려의 시,"살아도 살았다 할 수 없다면
생은 이미 그대를 떠난 것
돌아보면 그 자리
생은 질질 끌리기만 하더라
안과 밖이 서로를 혹사하면서
어떤 그리움의 섬을 찾아 예까지 왔나
산다는 것은 죽음의 변방을 눈감고
에돌아 나가는 술래다
몽생의 곡예를 부침하며
가장 낮은 자세로 생을 횡단한 사막의 주름
몸도 마음도 모두 구기고 치욕스럽게
닳아질 욕망의 껍데기인데
몇 번씩을 밟히고 넘어져도 다시 고쳐 일어서
온몸으로 쓴 바닥의 자서전"
고장난 시계,"가벼운 농담처럼 제 기억의 담장 아래로
꽃잎 분분한 봄날의 유희처럼 하늘하늘 가네
투덕투덕 가네 옛날이여,
안녕
두리번대며
가팔라지는 생을 부축해 가는
저이, 저 고요한 수전증
잘못 간 인생이 하루의 바깥으로
탈옥수처럼 붙들려 가네
돌아갈 수 없다고 주저주저, 제 삶을
멱살잡이 하며 가끔은
제 몸에 제 뿔을 박는 몽니로 한 발짝도
뗄 수 없다는 듯 완강하게 버팅기기도 하면서"
죽도 어시장,"바다의 향기가 물씬 풍기는
포항의 명물 죽도 어시장
호객 소리
흥정하는 소리 등에
삶의 활력이 넘쳐흘렀다.
발걸음 옮길 때마다
구수한 사투리가
따뜻한 인정으로 쏟아지고
유명세를 타고 모여드는
전형적인 수산 시장에
가을빛도 녹아들고 있었다.
온갖
싱싱한 해산물들이
다시 찾고픈
마력으로 살아 숨 쉬면서."
이젠 색이 바래버린 한 장의 사진 속에 비치는,"어깨너머의 안개꽃의 오랜 기다림
바람은 가고
외로움만 친구처럼 남아
그렇게 가슴을 기대어 주고 있는
외로움의 본질
별 하나가 찍어놓은 잠시 멈추어 있는 시간은
돌로 만들 화분에 심어놓은
아침과 고운 눈빛
느린 생각을 잃어버리지 않도록
그렇게 꽃이 되어
실바람이 불어오면
온유함을 한곳으로 몰아낸
생긴 빈 곳에
꽃들의 보내오는 가을로 가는
고운 메아리의 외로움이
단풍잎마다 처음 언덕을 보내옵니다
그렇게 꽃들의 사진관마다
여름날에
그 불꽃을 아쉬워하는
소낙비 우체통을 놓아두어
누구에게나
여름과 소낙비를
네모난 사진틀에 넣어 보낼 수 있는
나리꽃의 마음 씀씀이
그리움이 외롭지 않도록
우표 한 장에도 세밀함을 정교하게 넣어둡니다
이렇게 고운 느낌이
별이 되어 기다린
실바람의 피아노와
소낙비의 격동적인 감동이 있는
저녁 달무리의 합창이 보내온
반달의 고운 눈빛
꽃잎의 눈물을 부르는
향기의 무대에
아무런 편지를 보내오지 않아도
풀잎 피아노는 초록색을 네모나게 찍어 생각에 넣어둡니다."
연길 진달래 공원,"조국을 보러 온다.
노래를 부르고 싶어 모이는 것이 아니라
조국을 부르고 싶어 모인다.
진달래 정자를 지어 놓고
진달래 꽃송이 조각탑을 세워 놓고
보랏빛 조명으로 물들이며
조국의 동산을 그리고 있다.
따스한 조국의 향수를 품고 있다.
어디서 왔느냐고, 누구냐고
묻지도 아니하고
왜 왔느냐고, 어떻게 왔느냐고
아무도 상관하지 않고
야외 노래방 넓은 마당에는
모국의 언어로 너와 나 하나 되고
동글게 흐르는 춤사위로 모국의 물결이다.
도심의 커다란 공원은
놀이기구, 잔디광장, 포장마차, 강아지까지
완벽한 질서, 완벽한 아름다움
연길의 밤은 그렇게 깊어가고, 그렇게 익어가고"
채석강,"서해안 끝자락 변산반도까지 와서
학문을 닦았단 말인가
들고 가지도 못할 만큼 수많은 책들을
격포항 닭이봉 해변 언덕에
수북이 쌓아놓고 떠나갔음에
해풍과 세월이 켜켜이 다져놓은
초자연의 걸작품 앞에서
혹자는 시루떡을 쌓아올린 떡장바위라 부르고
혹자는 책장을 쌓아올린 책장바위라 부르고
절벽을 타고 흐르는 칼빛 바위림
집시의 날개로 솟아오르는 분무
당나라 이태백이 빠져죽은 강과 같아
채석강이라 부른다는데
달빛을 먹고 자란 뽀얀 속살이
생명의 빛으로 바다의 혼을 흡입하고 있다."
카를 교회,"저토록 아름다운 교회가 탄생되었을까
두 차례에 걸쳐
오스트리아 전역을 휩쓸고 간
검은 병마 페스트
다시는 지구상에 그런 일이 없기를
완전히 소멸되기를
그 감사의 기념물로
아버지 카를에서 아들 카를 브로메우스까지
대를 이어 완성했다 하니
높은 곳에서 반짝이는
첨탑의 영롱한 빛과
빈의 거리, 곳곳에서 시선에 들어오는
그 올곧은 바로크 걸작품이
백성의 안위를 위해 고뇌하던
깊은 인간애의 푯대로
빈의 하늘에 나부끼며 가슴을 흔든다."
삼소굴 일기19,"소설 아침에
겨울비로
개흘레 문을 민다.
오늘처럼 비 오는
날엔 나막신이 좋은데,
오름 능선 이엉마다
진솔옷 입고
고주박에 앉아 술비 뿌리는
으악새 그림자,
바람으로 노 저어 가면
달빛에 닻 내릴 수 있을까."
삼소굴 일기18,"산빛이 아름답습니다.
소설이 지난 겨울산에 나린 는개
아지마다 머무는 작은 바람이 되어
이른 새벽길을 열어 갑니다.
세상만사는 새옹지마와
같다고 하였습니다.
이 아름다운 세상,
모든 분과 함께 할 수 있는
이 아침에
당신이 내게로 오시니
너무나 행복합니다."
